38 Provinsi,,,,,,
,Komponen Penyusun Indeks Kualitas Lingkungan Hidup Menurut Provinsi,,,,,
,Indeks Kualitas Udara,Indeks Kualitas Air,Indeks Kualitas Tutupan Lahan (IKTL),Indeks Kualitas Lahan (IKL),Indeks Kualitas Ekosistem Gambut (IKEG),Indeks Kualitas Air Laut (IKAL)
,2023,2023,2023,2023,2023,2023
ACEH,90.94,61.3,76.52,76.51,69.53,86.75
SUMATERA UTARA,90.9,60.27,49.78,49.77,42.38,68.56
SUMATERA BARAT,90.53,57.05,66.95,68.98,44.09,86.19
RIAU,90.89,50.84,51.27,51.59,66.19,74.39
JAMBI,90.57,46.06,50.97,50.61,60.85,70.69
SUMATERA SELATAN,87.76,58.16,44.07,44.38,61.85,70.37
BENGKULU,92.49,48.98,55.66,55.8,43.99,85.25
LAMPUNG,88.04,55.36,37.5,38.42,41.43,83.78
KEP. BANGKA BELITUNG,90.15,57.43,39.2,40.09,75.52,82.57
KEP. RIAU,90.13,54.93,66.02,66.97,63.7,81.81
DKI JAKARTA,68.46,40.76,27.17,27.17,-,78.74
JAWA BARAT,81.39,46.87,41.99,41.99,-,85.03
JAWA TENGAH,86.35,51.23,46.34,46.34,-,81.39
DI YOGYAKARTA,89.01,40.28,48.68,48.68,-,81.11
JAWA TIMUR,84.73,55.86,49.7,49.7,-,77.99
BANTEN,66.67,58.93,43.13,43.13,-,82.95
BALI,88.99,55.17,45.22,45.22,-,86.05
NUSA TENGGARA BARAT,90.21,47.78,66.6,66.6,-,82.88
NUSA TENGGARA TIMUR,92.03,54.65,59.32,59.32,-,84.04
KALIMANTAN BARAT,92.03,52.97,60.42,60.62,70.55,83.52
KALIMANTAN TENGAH,91.47,53.9,75.52,75.64,75.75,77.12
KALIMANTAN SELATAN,92.85,55.64,52.05,52.08,49.19,79.94
KALIMANTAN TIMUR,89.64,52.64,83.55,83.86,69.72,81.36
KALIMANTAN UTARA,93.91,55.93,100,100,79.2,83.4
SULAWESI UTARA,93.52,52.12,62.33,62.33,-,79.19
SULAWESI TENGAH,91.88,63.63,82.64,83.19,53.48,79.81
SULAWESI SELATAN,90.58,57.95,56.22,56.22,-,84.3
SULAWESI TENGGARA,92.83,61.28,74.86,74.86,-,79.64
GORONTALO,94.43,58.7,80.24,80.24,-,85.54
SULAWESI BARAT,93.33,58.82,73.01,73.68,47.94,83.88
MALUKU,92.47,55.87,90.73,90.73,-,81.88
MALUKU UTARA,93.19,61.05,86.64,86.64,-,82.77
PAPUA BARAT,96.22,59.52,100,100,96.75,86.83
PAPUA BARAT DAYA,96.28,55.61,100,55.61,97.49,85.78
PAPUA,95.87,54.73,100,100,96.14,84.56
PAPUA SELATAN,95.44,60.73,93.2,60.73,91.31,73.67
PAPUA TENGAH,95.33,64.67,100,64.67,95.77,-
PAPUA PEGUNUNGAN,97.68,63.18,99.37,63.18,97.14,-
INDONESIA,88.67,54.59,61.65,61.79,69.13,78.84
